"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","",""
"","","","","","","","",""
"ESTUDIANTES MATRÍCULADOS EN EDUCACIÓN SUPERIOR (CICLO I). EL SALVADOR 2023","","","","","","","",""
"","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2023 SNIEES","","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","MUNICIPIO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD ALBERT EINSTEIN","PRIVADO","LA LIBERTAD","ANTIGUO CUSCATLÁN","ARQUITECTURA","ARQUITECTURA","33","39","72"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","SAN MIGUEL","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","197","178","375"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","SANTA ANA","SANTA ANA","ARQUITECTURA","ARQUITECTURA","175","188","363"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","LA LIBERTAD","ANTIGUO CUSCATLÁN","ARQUITECTURA","ARQUITECTURA","388","221","609"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","SAN SALVADOR","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA","409","367","776"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","SANTA ANA","SANTA ANA","ARQUITECTURA","ARQUITECTURA","221","261","482"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","SAN MIGUEL","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","159","146","305"
"UNIVERSIDAD DE ORIENTE","PRIVADO","SAN MIGUEL","SAN MIGUEL","ARQUITECTURA","ARQUITECTURA","67","84","151"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","LA LIBERTAD","ANTIGUO CUSCATLÁN","ARQUITECTURA","ARQUITECTURA","200","124","324"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","LA LIBERTAD","ANTIGUO CUSCATLÁN","ARQUITECTURA","ARQUITECTURA DE INTERIORES","160","30","190"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","SAN SALVADOR","SAN SALVADOR","ARQUITECTURA","ARQUITECTURA","133","110","243"
