"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"MATRÍCULA DE EDUCACIÓN SUPERIOR. AÑO 2020","","","","","","","","","",""
"","","","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2020 SINIEES","","","","","","","","","",""
"Institución de Educación Superior","Sede IES","Sector","Departamento ","Nivel Académico","Grado Académico","Carrera","Ciclo","Masculino","Femenino","Total"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Universitario","Licenciatura","LICENCIATURA EN ENFERMERIA","I","105","444","549"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Técnico","Técnico","TECNICO EN ENFERMERIA","I","25","160","185"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Técnico","Técnico","TÉCNICO EN SALUD AMBIENTAL","I","16","15","31"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Técnico","Tecnológo","TECNOLOGO EN ENFERMERIA","I","1","16","17"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN MIGUEL - REGIONAL","Privado","San Miguel","Universitario","Licenciatura","LICENCIATURA EN ENFERMERÍA","I","110","523","633"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN MIGUEL - REGIONAL","Privado","San Miguel","Técnico","Técnico","TECNICO EN ENFERMERIA","I","22","183","205"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN MIGUEL - REGIONAL","Privado","San Miguel","Técnico","Técnico","TÉCNICO EN SALUD AMBIENTAL","I","10","9","19"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SAN MIGUEL - REGIONAL","Privado","San Miguel","Técnico","Tecnológo","TECNOLOGO EN ENFERMERIA","I","4","25","29"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SANTA ANA - REGIONAL","Privado","Santa Ana","Universitario","Licenciatura","LICENCIATURA EN ENFERMERÍA","I","103","521","624"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SANTA ANA - REGIONAL","Privado","Santa Ana","Técnico","Técnico","TECNICO EN ENFERMERIA","I","61","338","399"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SANTA ANA - REGIONAL","Privado","Santa Ana","Técnico","Técnico","TÉCNICO EN SALUD AMBIENTAL","I","11","30","41"
"INSTITUTO ESPECIALIZADO DE PROFESIONALES DE LA SALUD DE EL SALVADOR","SANTA ANA - REGIONAL","Privado","Santa Ana","Técnico","Tecnológo","TECNOLOGO EN ENFERMERIA","I","1","7","8"
"UNIVERSIDAD DOCTOR ANDRES BELLO","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Posgrado","Maestría","MAESTRÍA EN ADMINISTRACIÓN DE SERVICIOS DE SALUD","I","9","35","44"
"UNIVERSIDAD DOCTOR ANDRES BELLO","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Posgrado","Maestría","MAESTRÍA EN ATENCIÓN A LA VIOLENCIA EN LA FAMILIA","I","6","20","26"
"UNIVERSIDAD DOCTOR ANDRES BELLO","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Posgrado","Maestría","MAESTRÍA EN DOCENCIA UNIVERSITARIA","I","17","29","46"
"UNIVERSIDAD DOCTOR ANDRES BELLO","SAN SALVADOR - CENTRAL","Privado","San Salvador ","Universitario","Licenciatura","LICENCIATURA EN LABORATORIO CLINICO","I","194","646","840"
